id,name,description,created,updated,is_active
1,Superadmin,,2026-01-01 07:53:59.038905+00,2026-01-01 07:53:59.038905+00,true
2,Teacher,,2026-01-01 07:54:15.199335+00,2026-01-01 07:54:15.199335+00,true
